PERFUME_ID,AUDIENCE,VOTE,LOAD_DT
8272,Masculine,3,2026-01-19 08:09:16
8272,Feminine,1,2026-01-19 08:09:16
8272,Modern,1,2026-01-19 08:09:16
8275,Feminine,13,2026-01-19 08:09:16
8275,Modern,12,2026-01-19 08:09:16
8275,Masculine,8,2026-01-19 08:09:16
8276,Feminine,4,2026-01-19 08:09:16
8276,Modern,2,2026-01-19 08:09:16
8276,Classic,1,2026-01-19 08:09:16
8277,Masculine,14,2026-01-19 08:09:16
8277,Modern,9,2026-01-19 08:09:16
8277,Classic,8,2026-01-19 08:09:16
8277,Feminine,6,2026-01-19 08:09:16
8280,Masculine,1,2026-01-19 08:09:16
8280,Feminine,1,2026-01-19 08:09:16
8281,Feminine,21,2026-01-19 08:09:16
8281,Modern,14,2026-01-19 08:09:16
8281,Classic,6,2026-01-19 08:09:16
8283,Masculine,8,2026-01-19 08:09:16
8283,Feminine,6,2026-01-19 08:09:16
8283,Modern,4,2026-01-19 08:09:16
8283,Classic,2,2026-01-19 08:09:16
8291,Masculine,5,2026-01-19 08:09:16
8291,Modern,3,2026-01-19 08:09:16
8291,Feminine,1,2026-01-19 08:09:16
8291,Classic,1,2026-01-19 08:09:16
8294,Masculine,1,2026-01-19 08:09:16
8294,Classic,1,2026-01-19 08:09:16
8294,Modern,1,2026-01-19 08:09:16
8295,Masculine,9,2026-01-19 08:09:16
8295,Classic,6,2026-01-19 08:09:16
8295,Modern,6,2026-01-19 08:09:16
8295,Feminine,4,2026-01-19 08:09:16
8296,Feminine,19,2026-01-19 08:09:16
8296,Modern,10,2026-01-19 08:09:16
8296,Masculine,9,2026-01-19 08:09:16
8296,Classic,4,2026-01-19 08:09:16
8299,Masculine,9,2026-01-19 08:09:16
8299,Feminine,7,2026-01-19 08:09:16
8299,Classic,5,2026-01-19 08:09:16
8299,Modern,5,2026-01-19 08:09:16
8301,Feminine,9,2026-01-19 08:09:16
8301,Masculine,8,2026-01-19 08:09:16
8301,Modern,6,2026-01-19 08:09:16
8301,Classic,2,2026-01-19 08:09:16
8302,Feminine,3,2026-01-19 08:09:16
8302,Masculine,2,2026-01-19 08:09:16
8303,Feminine,9,2026-01-19 08:09:16
8303,Masculine,8,2026-01-19 08:09:16
8303,Classic,6,2026-01-19 08:09:16
8303,Modern,4,2026-01-19 08:09:16
8307,Feminine,6,2026-01-19 08:09:16
8307,Masculine,3,2026-01-19 08:09:16
8307,Classic,3,2026-01-19 08:09:16
8307,Modern,3,2026-01-19 08:09:16
8309,Feminine,22,2026-01-19 08:09:16
8309,Modern,9,2026-01-19 08:09:16
8309,Masculine,5,2026-01-19 08:09:16
8309,Classic,5,2026-01-19 08:09:16
8311,Feminine,7,2026-01-19 08:09:16
8311,Modern,3,2026-01-19 08:09:16
8311,Masculine,2,2026-01-19 08:09:16
8311,Classic,1,2026-01-19 08:09:16
8313,Masculine,17,2026-01-19 08:09:16
8313,Feminine,11,2026-01-19 08:09:16
8313,Modern,9,2026-01-19 08:09:16
8313,Classic,7,2026-01-19 08:09:16
8314,Feminine,3,2026-01-19 08:09:16
8314,Masculine,1,2026-01-19 08:09:16
8314,Modern,1,2026-01-19 08:09:16
8317,Masculine,18,2026-01-19 08:09:16
8317,Classic,6,2026-01-19 08:09:16
8317,Modern,5,2026-01-19 08:09:16
8317,Feminine,3,2026-01-19 08:09:16
8319,Feminine,37,2026-01-19 08:09:16
8319,Modern,17,2026-01-19 08:09:16
