perfume_id	perfume	brand	release_year	concentration	perfumer	accord	audience	season	occasion	top_note	middle_note	base_note	tags	img	link
P_08272	Enigmatic Saffiano	Hugo Boss	2024.0			{'Spicy': '3', 'Leathery': '4', 'Woody': '2', 'Fresh': '2', 'Creamy': '1', 'Floral': '1', 'Aquatic': '4'}	{'Masculine': '3', 'Feminine': '1', 'Modern': '1'}	{'Winter': '1', 'Fall': '2', 'Summer': '2', 'Spring': '2'}	{'Leisure': '3', 'Night Out': '2', 'Business': '2', 'Evening': '2'}	Marine notes, Morocco leather	Marine notes, Morocco leather	Marine notes, Morocco leather		https://media.parfumo.com/perfume_social/c0/c042b8-enigmatic-saffiano-hugo-boss_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Hugo_Boss/enigmatic-saffiano
P_08275	Rose of No Man's Land	Byredo	2025.0	Absolu de Parfum		{'Spicy': '8', 'Sweet': '9', 'Woody': '9', 'Fruity': '5', 'Fresh': '3', 'Floral': '14'}	{'Masculine': '8', 'Feminine': '13', 'Modern': '12'}	{'Winter': '12', 'Fall': '13', 'Summer': '7', 'Spring': '13'}	{'Daily': '9', 'Leisure': '10', 'Night Out': '9', 'Business': '6', 'Evening': '11'}	Blackcurrant, Saffron, Pink pepper	Rose, Black raspberry, Peony	Patchouli, Black amber, Papyrus		https://media.parfumo.com/perfume_social/47/47536a_rose-of-no-man-s-land-absolu-de-parfum-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/rose-of-no-man-s-land-absolu-de-parfum
P_08276	Boss Intense Shimmer Edition	Hugo Boss	2004.0	Eau de Toilette	Ursula Wandel	{'Spicy': '3', 'Synthetic': '1', 'Sweet': '2', 'Woody': '4', 'Floral': '4'}	{'Feminine': '4', 'Classic': '1', 'Modern': '2'}	{'Summer': '4', 'Spring': '3'}	{'Leisure': '3', 'Night Out': '2', 'Business': '1', 'Evening': '1'}	Spices, Oxygen, Kumquat	Vanilla, Jasmine, Rose	Amber, Benzoin, Patchouli, Sandalwood, Musk		https://media.parfumo.com/perfume_social/f3/f3a12c-boss-intense-shimmer-edition-eau-de-toilette-hugo-boss_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Hugo_Boss/Boss_Intense_Shimmer_Edition
P_08277	HTTP://WWW.BONDNO9.COM	Bond No. 9	2013.0		Michel Almairac	{'Citrus': '10', 'Spicy': '5', 'Synthetic': '8', 'Sweet': '9', 'Woody': '4', 'Green': '4', 'Fruity': '12', 'Fresh': '12'}	{'Masculine': '14', 'Feminine': '6', 'Classic': '8', 'Modern': '9'}	{'Winter': '9', 'Fall': '15', 'Summer': '14', 'Spring': '14'}	{'Daily': '10', 'Sport': '7', 'Leisure': '12', 'Night Out': '14', 'Business': '10', 'Evening': '11'}	Juniper berry, Pineapple, Yellow bergamot	Apple, Cedarwood, Blackcurrant	Musk, Moss, Amber, Patchouli		https://media.parfumo.com/perfume_social/4b/4b3e18-http-www-bondno9-com-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/httpbondno9_com
P_08280	Wild Violet	Hugo Boss	2024.0		Aurélien Guichard,Leonardo Lucheze,Takasago / 高砂	{'Spicy': '1', 'Synthetic': '1', 'Sweet': '1', 'Leathery': '1', 'Floral': '1'}	{'Masculine': '1', 'Feminine': '1'}	{'Winter': '1', 'Fall': '1'}	{'Leisure': '1', 'Night Out': '1', 'Business': '1'}	Leathery notes, Violet	Leathery notes, Violet	Leathery notes, Violet		https://media.parfumo.com/perfume_social/5c/5c77f5-wild-violet-hugo-boss_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Hugo_Boss/wild-violet
P_08281	Chelsea Flowers	Bond No. 9	2003.0	Eau de Parfum	Laurent Le Guernec	{'Synthetic': '8', 'Sweet': '5', 'Fruity': '7', 'Fresh': '15', 'Floral': '22'}	{'Feminine': '21', 'Classic': '6', 'Modern': '14'}	{'Fall': '4', 'Summer': '20', 'Spring': '22'}	{'Daily': '17', 'Sport': '3', 'Leisure': '21', 'Night Out': '5', 'Business': '15'}	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak		https://media.parfumo.com/perfume_social/3f/3fb791-chelsea-flowers-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Chelsea_Flowers
P_08283	Elevator Music	Byredo	2018.0	Eau de Parfum		{'Spicy': '3', 'Synthetic': '6', 'Smoky': '3', 'Woody': '7', 'Green': '3', 'Fresh': '3', 'Creamy': '3', 'Floral': '4'}	{'Masculine': '8', 'Feminine': '6', 'Classic': '2', 'Modern': '4'}	{'Winter': '5', 'Fall': '7', 'Summer': '5', 'Spring': '7'}	{'Daily': '6', 'Sport': '2', 'Leisure': '7', 'Night Out': '4', 'Business': '7', 'Evening': '3'}	Bamboo, Violet	Ambrette, Jasmine	Charred wood, Amyris		https://media.parfumo.com/perfume_social/52/522d6b-elevator-music-eau-de-parfum-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Elevator_Music_Eau_de_Parfum
P_08291	Bois Obscur	Byredo	2025.0		Jérôme Epinette,Robertet	{'Spicy': '4', 'Sweet': '1', 'Smoky': '3', 'Oriental': '1', 'Woody': '5', 'Resinous': '4', 'Fruity': '1', 'Floral': '2', 'Animal': '1'}	{'Masculine': '5', 'Feminine': '1', 'Classic': '1', 'Modern': '3'}	{'Winter': '5', 'Fall': '5'}	{'Leisure': '4', 'Night Out': '5', 'Evening': '5'}	Saffron, Eucalyptus, Papyrus	Tuberose absolute, Oud, Jasmine absolute	Labdanum, Patchouli, Mineral amber, Sandalwood		https://media.parfumo.com/perfume_social/7f/7fa924_bois-obscur-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/bois-obscur
P_08294	Idle Hour	Ex Nihilo	2022.0		Jordi Fernández	{'Spicy': '1', 'Synthetic': '1', 'Sweet': '1', 'Fresh': '1'}	{'Masculine': '1', 'Classic': '1', 'Modern': '1'}	{'Fall': '1', 'Spring': '1'}	{'Business': '1', 'Evening': '1'}	Bergamot, Frankincense, Pink pepper	Cedarwood, Iris, Ylang-ylang	Akigalawood®, Musk, Tonka bean		https://media.parfumo.com/perfume_social/d7/d74287-idle-hour-ex-nihilo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Ex_Nihilo/idle-hour
P_08295	Sunday Cologne	Byredo	2014.0	Eau de Cologne		{'Citrus': '8', 'Spicy': '4', 'Synthetic': '5', 'Woody': '3', 'Green': '5', 'Fresh': '8', 'Fougère': '4'}	{'Masculine': '9', 'Feminine': '4', 'Classic': '6', 'Modern': '6'}	{'Winter': '1', 'Fall': '5', 'Summer': '8', 'Spring': '7'}	{'Daily': '8', 'Sport': '4', 'Leisure': '9', 'Night Out': '2', 'Business': '8', 'Evening': '3'}	Bergamot, Star anise, Cardamom	Geranium, Frankincense, Lavender	Vetiver, Moss, Patchouli		https://media.parfumo.com/perfume_social/33/330898-sunday-cologne-eau-de-cologne-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/Sunday_Cologne_Eau_de_Cologne
