PERFUME_ID,ACCORD,ratio,LOAD_DT
8272,Leathery,23.53,2026-01-19 08:09:15
8272,Aquatic,23.53,2026-01-19 08:09:15
8272,Spicy,17.65,2026-01-19 08:09:15
8272,Woody,11.76,2026-01-19 08:09:15
8272,Fresh,11.76,2026-01-19 08:09:15
8275,Floral,29.17,2026-01-19 08:09:15
8275,Sweet,18.75,2026-01-19 08:09:15
8275,Woody,18.75,2026-01-19 08:09:15
8276,Woody,28.57,2026-01-19 08:09:15
8276,Floral,28.57,2026-01-19 08:09:15
8276,Spicy,21.43,2026-01-19 08:09:15
8277,Fruity,18.75,2026-01-19 08:09:15
8277,Fresh,18.75,2026-01-19 08:09:15
8277,Citrus,15.62,2026-01-19 08:09:15
8277,Sweet,14.06,2026-01-19 08:09:15
8277,Synthetic,12.5,2026-01-19 08:09:15
8280,Spicy,20.0,2026-01-19 08:09:15
8280,Synthetic,20.0,2026-01-19 08:09:15
8280,Sweet,20.0,2026-01-19 08:09:15
8280,Leathery,20.0,2026-01-19 08:09:15
8280,Floral,20.0,2026-01-19 08:09:15
8281,Floral,38.6,2026-01-19 08:09:15
8281,Fresh,26.32,2026-01-19 08:09:15
8281,Synthetic,14.04,2026-01-19 08:09:15
8283,Woody,21.88,2026-01-19 08:09:15
8283,Synthetic,18.75,2026-01-19 08:09:15
8283,Floral,12.5,2026-01-19 08:09:15
8291,Woody,22.73,2026-01-19 08:09:15
8291,Spicy,18.18,2026-01-19 08:09:15
8291,Resinous,18.18,2026-01-19 08:09:15
8291,Smoky,13.64,2026-01-19 08:09:15
8294,Spicy,25.0,2026-01-19 08:09:15
8294,Synthetic,25.0,2026-01-19 08:09:15
8294,Sweet,25.0,2026-01-19 08:09:15
8294,Fresh,25.0,2026-01-19 08:09:15
8295,Citrus,21.62,2026-01-19 08:09:15
8295,Fresh,21.62,2026-01-19 08:09:15
8295,Synthetic,13.51,2026-01-19 08:09:15
8295,Green,13.51,2026-01-19 08:09:15
8296,Floral,25.0,2026-01-19 08:09:15
8296,Synthetic,18.75,2026-01-19 08:09:15
8296,Fresh,16.25,2026-01-19 08:09:15
