PERFUME_ID,OCCASION,ratio,LOAD_DT
8272,Leisure,33.33,2026-01-19 08:38:20
8272,Night Out,22.22,2026-01-19 08:38:20
8272,Business,22.22,2026-01-19 08:38:20
8272,Evening,22.22,2026-01-19 08:38:20
8275,Evening,24.44,2026-01-19 08:38:20
8275,Leisure,22.22,2026-01-19 08:38:20
8275,Daily,20.0,2026-01-19 08:38:20
8275,Night Out,20.0,2026-01-19 08:38:20
8276,Leisure,42.86,2026-01-19 08:38:20
8276,Night Out,28.57,2026-01-19 08:38:20
8277,Night Out,21.88,2026-01-19 08:38:20
8277,Leisure,18.75,2026-01-19 08:38:20
8277,Evening,17.19,2026-01-19 08:38:20
8277,Daily,15.62,2026-01-19 08:38:20
8277,Business,15.62,2026-01-19 08:38:20
8280,Leisure,33.33,2026-01-19 08:38:20
8280,Night Out,33.33,2026-01-19 08:38:20
8280,Business,33.33,2026-01-19 08:38:20
8281,Leisure,34.43,2026-01-19 08:38:20
8281,Daily,27.87,2026-01-19 08:38:20
8281,Business,24.59,2026-01-19 08:38:20
8283,Leisure,24.14,2026-01-19 08:38:20
8283,Business,24.14,2026-01-19 08:38:20
8283,Daily,20.69,2026-01-19 08:38:20
8291,Night Out,35.71,2026-01-19 08:38:20
8291,Evening,35.71,2026-01-19 08:38:20
8291,Leisure,28.57,2026-01-19 08:38:20
8294,Business,50.0,2026-01-19 08:38:20
8294,Evening,50.0,2026-01-19 08:38:20
8295,Leisure,26.47,2026-01-19 08:38:20
8295,Daily,23.53,2026-01-19 08:38:20
8295,Business,23.53,2026-01-19 08:38:20
8296,Daily,26.67,2026-01-19 08:38:20
8296,Leisure,26.67,2026-01-19 08:38:20
8296,Business,20.0,2026-01-19 08:38:20
8299,Night Out,34.78,2026-01-19 08:38:20
8299,Evening,30.43,2026-01-19 08:38:20
8299,Leisure,21.74,2026-01-19 08:38:20
8301,Night Out,34.38,2026-01-19 08:38:20
8301,Evening,28.12,2026-01-19 08:38:20
8301,Leisure,15.62,2026-01-19 08:38:20
8302,Daily,20.0,2026-01-19 08:38:20
8302,Leisure,20.0,2026-01-19 08:38:20
8302,Night Out,20.0,2026-01-19 08:38:20
8302,Business,20.0,2026-01-19 08:38:20
8302,Evening,20.0,2026-01-19 08:38:20
8303,Leisure,27.27,2026-01-19 08:38:20
8303,Night Out,27.27,2026-01-19 08:38:20
8303,Evening,24.24,2026-01-19 08:38:20
8307,Leisure,31.58,2026-01-19 08:38:20
8307,Daily,26.32,2026-01-19 08:38:20
8307,Business,21.05,2026-01-19 08:38:20
8309,Leisure,29.03,2026-01-19 08:38:20
8309,Daily,27.42,2026-01-19 08:38:20
8309,Business,22.58,2026-01-19 08:38:20
8311,Leisure,27.78,2026-01-19 08:38:20
8311,Daily,22.22,2026-01-19 08:38:20
8311,Business,22.22,2026-01-19 08:38:20
8311,Evening,16.67,2026-01-19 08:38:20
8313,Leisure,31.58,2026-01-19 08:38:20
8313,Daily,28.07,2026-01-19 08:38:20
8313,Business,17.54,2026-01-19 08:38:20
8314,Daily,33.33,2026-01-19 08:38:20
8314,Leisure,22.22,2026-01-19 08:38:20
8314,Business,22.22,2026-01-19 08:38:20
8317,Leisure,28.0,2026-01-19 08:38:20
8317,Daily,26.0,2026-01-19 08:38:20
8317,Business,24.0,2026-01-19 08:38:20
8319,Leisure,27.36,2026-01-19 08:38:20
8319,Daily,26.42,2026-01-19 08:38:20
8319,Business,16.04,2026-01-19 08:38:20
8321,Night Out,26.42,2026-01-19 08:38:20
8321,Leisure,20.75,2026-01-19 08:38:20
8321,Daily,18.87,2026-01-19 08:38:20
8321,Evening,18.87,2026-01-19 08:38:20
8321,Business,15.09,2026-01-19 08:38:20
8325,Night Out,24.29,2026-01-19 08:38:20
8325,Evening,22.86,2026-01-19 08:38:20
