PERFUME_ID,SEASON,ratio,LOAD_DT
8277,Fall,28.85,2026-01-19 08:53:19
8277,Summer,26.92,2026-01-19 08:53:19
8277,Spring,26.92,2026-01-19 08:53:19
8281,Spring,47.83,2026-01-19 08:53:19
8281,Summer,43.48,2026-01-19 08:53:19
8296,Spring,40.43,2026-01-19 08:53:19
8296,Summer,38.3,2026-01-19 08:53:19
8299,Fall,26.92,2026-01-19 08:53:19
8299,Spring,26.92,2026-01-19 08:53:19
8299,Winter,23.08,2026-01-19 08:53:19
8299,Summer,23.08,2026-01-19 08:53:19
8309,Spring,45.65,2026-01-19 08:53:19
8309,Summer,39.13,2026-01-19 08:53:19
8313,Spring,33.33,2026-01-19 08:53:19
8313,Summer,27.78,2026-01-19 08:53:19
8313,Fall,22.22,2026-01-19 08:53:19
8317,Spring,32.61,2026-01-19 08:53:19
8317,Summer,28.26,2026-01-19 08:53:19
8317,Fall,26.09,2026-01-19 08:53:19
8319,Spring,39.76,2026-01-19 08:53:19
8319,Summer,26.51,2026-01-19 08:53:19
8319,Fall,21.69,2026-01-19 08:53:19
8321,Spring,34.21,2026-01-19 08:53:19
8321,Fall,28.95,2026-01-19 08:53:19
8321,Summer,21.05,2026-01-19 08:53:19
8325,Spring,39.62,2026-01-19 08:53:19
8325,Summer,30.19,2026-01-19 08:53:19
8326,Fall,30.84,2026-01-19 08:53:19
8326,Spring,28.97,2026-01-19 08:53:19
8326,Winter,24.3,2026-01-19 08:53:19
8329,Spring,43.14,2026-01-19 08:53:19
8329,Summer,39.22,2026-01-19 08:53:19
8334,Spring,34.85,2026-01-19 08:53:19
8334,Fall,28.79,2026-01-19 08:53:19
8337,Fall,30.77,2026-01-19 08:53:19
8337,Winter,28.85,2026-01-19 08:53:19
8337,Spring,21.15,2026-01-19 08:53:19
8338,Fall,31.34,2026-01-19 08:53:19
8338,Spring,28.36,2026-01-19 08:53:19
8338,Summer,22.39,2026-01-19 08:53:19
8341,Spring,39.58,2026-01-19 08:53:19
8341,Summer,35.42,2026-01-19 08:53:19
8344,Spring,36.21,2026-01-19 08:53:19
8344,Fall,25.86,2026-01-19 08:53:19
8344,Summer,22.41,2026-01-19 08:53:19
8352,Spring,37.84,2026-01-19 08:53:19
8352,Summer,35.14,2026-01-19 08:53:19
8354,Summer,32.61,2026-01-19 08:53:19
8354,Spring,32.61,2026-01-19 08:53:19
8354,Fall,28.26,2026-01-19 08:53:19
8356,Summer,35.14,2026-01-19 08:53:19
8356,Fall,29.73,2026-01-19 08:53:19
8356,Spring,29.73,2026-01-19 08:53:19
8362,Spring,38.24,2026-01-19 08:53:19
8362,Fall,26.47,2026-01-19 08:53:19
8367,Spring,40.74,2026-01-19 08:53:19
8367,Summer,37.04,2026-01-19 08:53:19
8379,Spring,40.0,2026-01-19 08:53:19
8379,Summer,33.33,2026-01-19 08:53:19
8383,Spring,38.3,2026-01-19 08:53:19
8383,Summer,34.04,2026-01-19 08:53:19
8399,Fall,33.18,2026-01-19 08:53:19
8399,Winter,31.97,2026-01-19 08:53:19
8399,Spring,24.35,2026-01-19 08:53:19
8403,Spring,35.53,2026-01-19 08:53:19
8403,Summer,24.58,2026-01-19 08:53:19
8403,Fall,23.8,2026-01-19 08:53:19
8407,Winter,40.25,2026-01-19 08:53:19
8407,Fall,37.11,2026-01-19 08:53:19
8408,Summer,36.84,2026-01-19 08:53:19
8408,Spring,36.09,2026-01-19 08:53:19
8411,Spring,30.68,2026-01-19 08:53:19
8411,Fall,27.29,2026-01-19 08:53:19
8411,Summer,26.33,2026-01-19 08:53:19
8412,Winter,39.13,2026-01-19 08:53:19
8412,Fall,39.13,2026-01-19 08:53:19
8415,Spring,36.68,2026-01-19 08:53:19
8415,Summer,35.09,2026-01-19 08:53:19
8416,Fall,35.71,2026-01-19 08:53:19
8416,Spring,27.14,2026-01-19 08:53:19
8416,Winter,24.29,2026-01-19 08:53:19
8419,Spring,35.42,2026-01-19 08:53:19
8419,Summer,34.9,2026-01-19 08:53:19
8419,Fall,21.09,2026-01-19 08:53:19
8421,Summer,40.3,2026-01-19 08:53:19
8421,Spring,37.31,2026-01-19 08:53:19
8422,Spring,32.14,2026-01-19 08:53:19
8422,Fall,28.57,2026-01-19 08:53:19
8422,Summer,21.43,2026-01-19 08:53:19
8423,Spring,38.99,2026-01-19 08:53:19
8423,Summer,31.76,2026-01-19 08:53:19
8423,Fall,21.38,2026-01-19 08:53:19
8425,Winter,35.38,2026-01-19 08:53:19
8425,Fall,35.38,2026-01-19 08:53:19
8425,Spring,24.62,2026-01-19 08:53:19
8427,Summer,48.62,2026-01-19 08:53:19
8427,Spring,41.44,2026-01-19 08:53:19
8429,Summer,36.92,2026-01-19 08:53:19
8429,Spring,35.38,2026-01-19 08:53:19
8429,Fall,21.54,2026-01-19 08:53:19
